provider,model,chunk_size,mode,reranker_model,k_retrieve,k_rerank,total_queries,avg_mrr_k_retrieve,avg_mrr_k_rerank,avg_mrr_reranked,mrr_improvement,mrr_improvement_pct,avg_recall_k_retrieve,avg_recall_k_rerank,avg_recall_reranked,recall_improvement,recall_improvement_pct,avg_precision_k_retrieve,avg_precision_k_rerank,avg_precision_reranked,precision_improvement,precision_improvement_pct,avg_f1_k_retrieve,avg_f1_k_rerank,avg_f1_reranked,f1_improvement,f1_improvement_pct
ollama,nomic-embed-text,512,single,voyage-rerank-2.5,80,20,150,0.354,0.3534,0.5546,0.2012,56.93265421618562,0.6418,0.6189,0.6396,0.02069999999999994,3.3446437227338732,0.0727,0.0926,0.0983,0.005699999999999997,6.155507559395245,0.1145,0.145,0.1533,0.008300000000000002,5.724137931034484
ollama,nomic-embed-text,1024,single,voyage-rerank-2.5,80,20,150,0.2735,0.273,0.3954,0.12239999999999995,44.83516483516482,0.4273,0.4042,0.4273,0.02310000000000001,5.714992577931719,0.0576,0.0664,0.0694,0.0030000000000000027,4.51807228915663,0.0896,0.1026,0.1073,0.00470000000000001,4.5808966861598535
