provider,model,chunk_size,mode,reranker_model,k_retrieve,k_rerank,total_queries,avg_mrr_k_retrieve,avg_mrr_k_rerank,avg_mrr_reranked,mrr_improvement,mrr_improvement_pct,avg_recall_k_retrieve,avg_recall_k_rerank,avg_recall_reranked,recall_improvement,recall_improvement_pct,avg_precision_k_retrieve,avg_precision_k_rerank,avg_precision_reranked,precision_improvement,precision_improvement_pct,avg_f1_k_retrieve,avg_f1_k_rerank,avg_f1_reranked,f1_improvement,f1_improvement_pct
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,150,0.1956,0.1918,0.1299,-0.06190000000000001,-32.27320125130345,0.5711,0.4467,0.4233,-0.023399999999999976,-5.238415043653453,0.017,0.0427,0.0413,-0.0013999999999999985,-3.27868852459016,0.0324,0.0747,0.0725,-0.0022000000000000075,-2.9451137884872924
ollama,nomic-embed-text,512,global,BAAI/bge-reranker-large,80,20,150,0.1956,0.1918,0.289,0.09719999999999998,50.677789363920745,0.5711,0.4467,0.5478,0.10109999999999997,22.632639355271987,0.017,0.0427,0.0537,0.010999999999999996,25.76112412177985,0.0324,0.0747,0.0945,0.019799999999999998,26.506024096385538
ollama,nomic-embed-text,512,global,voyage-rerank-2.5,80,20,150,0.1956,0.1918,0.4641,0.2723,141.97080291970804,0.5711,0.4467,0.5689,0.12219999999999998,27.356167450190277,0.017,0.0427,0.06,0.017299999999999996,40.51522248243559,0.0324,0.0747,0.1034,0.028700000000000003,38.42034805890228
