method_type,method_subtype,method_name,rank_page_mrr,mode,baseline_page_mrr,baseline_page_recall,baseline_page_precision,baseline_page_f1,baseline_text_mrr,baseline_text_recall,baseline_text_precision,baseline_text_f1,expanded_page_mrr,expanded_page_recall,expanded_page_precision,expanded_page_f1,expanded_text_mrr,expanded_text_recall,expanded_text_precision,expanded_text_f1,delta_page_mrr,delta_page_recall,delta_page_precision,delta_page_f1,delta_text_mrr,delta_text_recall,delta_text_precision,delta_text_f1,pct_page_mrr,pct_page_recall,pct_page_precision,pct_page_f1,pct_text_mrr,pct_text_recall,pct_text_precision,pct_text_f1
term_expansion,abbreviation_synonym,term_expansion/abbreviation_synonym,1,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5632757208678262,0.8477777777777779,0.06433333333333334,0.11802921715965194,0.4143471494392547,0.6255555555555555,0.05333333333333334,0.09557656406931768,0.0455559666511679,0.02111111111111119,0.00033333333333333826,0.000688584530849426,0.036927492986316535,-0.00666666666666671,0.0,-0.0002217921638211634,8.799348736479425,2.5537634408602248,0.520833333333341,0.5868253097183367,9.784199724351442,-1.0544815465729418,0.0,-0.2315198011137068
query_refinement,formal,query_refinement/formal,2,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5593700863406745,0.8355555555555555,0.06366666666666668,0.11683591770548292,0.40895395929606454,0.6255555555555555,0.05533333333333334,0.09888919346890361,0.041650332124016254,0.008888888888888835,-0.0003333333333333244,-0.0005047149233195908,0.03153430284312636,-0.00666666666666671,0.0020000000000000018,0.003090837235764768,8.04495709981856,1.0752688172042946,-0.5208333333333194,-0.4301280059706301,8.355235956571988,-1.0544815465729418,3.7500000000000036,3.2263990294810267
term_expansion,context_addition,term_expansion/context_addition,3,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5283078403078403,0.8277777777777778,0.06366666666666668,0.11652984696462956,0.38779552854552857,0.6255555555555555,0.051666666666666666,0.09314015024159951,0.010588086091182003,0.0011111111111111738,-0.0003333333333333244,-0.0008107856641729472,0.010375872092590388,-0.00666666666666671,-0.0016666666666666705,-0.0026582059915393336,2.045138514600901,0.1344086021505452,-0.5208333333333194,-0.6909675242145671,2.7491604942108236,-1.0544815465729418,-3.125000000000007,-2.7747929046613424
query_refinement,clarification,query_refinement/clarification,4,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5220091814503579,0.8188888888888889,0.06266666666666666,0.11503216590173113,0.38195226926496273,0.6155555555555555,0.053,0.09481867461577606,0.0042894272336996275,-0.007777777777777772,-0.0013333333333333391,-0.0023084667270713843,0.00453261281202455,-0.01666666666666672,-0.00033333333333333826,-0.000979681617362782,0.8285229989320755,-0.9408602150537628,-2.0833333333333424,-1.9673208464573648,1.2009477340483294,-2.6362038664323455,-0.6250000000000092,-1.0226497153861265
chain_of_thought,explicit_context,chain_of_thought/explicit_context,5,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5190317820580979,0.8288888888888889,0.064,0.11733343950735256,0.3930936899357952,0.6222222222222222,0.052333333333333336,0.0941213912228405,0.001312027841439578,0.0022222222222222365,0.0,-7.19312144994988e-06,0.015674033482857008,-0.010000000000000009,-0.0010000000000000009,-0.001676965010298348,0.2534243344499683,0.268817204301077,0.0,-0.006130119881579922,4.152945723644751,-1.581722319859404,-1.8750000000000018,-1.7505154328715375
domain_adaptation,accounting_perspective,domain_adaptation/accounting_perspective,6,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.5088232683495841,0.85,0.06366666666666668,0.11713093669615408,0.3685856078619237,0.6344444444444445,0.054,0.09684138620370504,-0.008896485867074144,0.023333333333333317,-0.0003333333333333244,-0.00020969593264842656,-0.008834048591014498,0.0022222222222222365,0.0006666666666666626,0.0010430299705661977,-1.7183979932415507,2.8225806451612887,-0.5208333333333194,-0.17870700707041737,-2.3406434826523266,0.35149384885764723,1.2499999999999925,1.0887764796588335
domain_adaptation,10k_language,domain_adaptation/10k_language,7,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.4927726347726348,0.7955555555555556,0.05866666666666667,0.10795393012784317,0.35929743988954516,0.5955555555555555,0.05066666666666667,0.091079500209935,-0.024947119444023502,-0.03111111111111109,-0.005333333333333329,-0.00938670250095934,-0.018122216563393023,-0.036666666666666736,-0.0026666666666666644,-0.004718856023203849,-4.818653188493846,-3.7634408602150513,-8.333333333333325,-7.999532890412654,-4.801609098399661,-5.799648506151153,-4.999999999999996,-4.925821495015891
query_refinement,keyword_focused,query_refinement/keyword_focused,8,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.47265950034371085,0.8222222222222222,0.06266666666666666,0.1150479954827781,0.3543193617241605,0.6388888888888888,0.054,0.09688505268215412,-0.04506025387294743,-0.004444444444444473,-0.0013333333333333391,-0.002292637146024415,-0.02310029472877767,0.006666666666666599,0.0006666666666666626,0.0010866964490152814,-8.703599487163931,-0.537634408602154,-2.0833333333333424,-1.953830565475972,-6.120586019784619,1.0544815465729243,1.2499999999999925,1.1343581369712148
hyde,basic,hyde/basic,9,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.4129570456776339,0.7322222222222222,0.05733333333333333,0.10486730660643703,0.2736495448995449,0.55,0.03966666666666667,0.07298764037894473,-0.10476270853902436,-0.09444444444444444,-0.006666666666666668,-0.012473326022365477,-0.10377011155339327,-0.0822222222222222,-0.013666666666666667,-0.022810715854194114,-20.235408768115633,-11.424731182795698,-10.416666666666668,-10.630014295068465,-27.49462296920212,-13.00527240773286,-25.624999999999996,-23.811176674765704
hyde,financial_terminology,hyde/financial_terminology,10,global,0.5177197542166583,0.8266666666666667,0.064,0.11734063262880251,0.3774196564529382,0.6322222222222222,0.05333333333333334,0.09579835623313884,0.3938531797579785,0.7144444444444444,0.05533333333333334,0.10156597026162242,0.24688075091403264,0.5233333333333333,0.035,0.06482025221155656,-0.12386657445867977,-0.11222222222222222,-0.008666666666666663,-0.015774662367180087,-0.13053890553890554,-0.10888888888888892,-0.018333333333333333,-0.030978104021582284,-23.925410118085505,-13.5752688172043,-13.54166666666666,-13.44347819998716,-34.58720374178045,-17.22319859402461,-34.375,-32.33678033701611
