provider,model,chunk_size,mode,reranker_model,k_retrieve,k_rerank,total_queries,avg_mrr_k_retrieve,avg_mrr_k_rerank,avg_mrr_reranked,mrr_improvement,mrr_improvement_pct,avg_recall_k_retrieve,avg_recall_k_rerank,avg_recall_reranked,recall_improvement,recall_improvement_pct,avg_precision_k_retrieve,avg_precision_k_rerank,avg_precision_reranked,precision_improvement,precision_improvement_pct,avg_f1_k_retrieve,avg_f1_k_rerank,avg_f1_reranked,f1_improvement,f1_improvement_pct
ollama,nomic-embed-text,512,single,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,150,0.354,0.3534,0.2545,-0.09889999999999999,-27.98528579513299,0.6418,0.6189,0.5767,-0.042200000000000015,-6.8185490386169025,0.0727,0.0926,0.0846,-0.008000000000000007,-8.639308855291585,0.1145,0.145,0.1324,-0.0126,-8.689655172413794
ollama,nomic-embed-text,512,single,BAAI/bge-reranker-large,80,20,150,0.354,0.3534,0.3727,0.019299999999999984,5.461233729484998,0.6418,0.6189,0.62,0.0010999999999999899,0.17773469058005978,0.0727,0.0926,0.091,-0.0016000000000000042,-1.72786177105832,0.1145,0.145,0.143,-0.0020000000000000018,-1.3793103448275876
ollama,nomic-embed-text,512,single,voyage-rerank-2.5,80,20,150,0.354,0.3534,0.5546,0.2012,56.93265421618562,0.6418,0.6189,0.6396,0.02069999999999994,3.3446437227338732,0.0727,0.0926,0.0983,0.005699999999999997,6.155507559395245,0.1145,0.145,0.1533,0.008300000000000002,5.724137931034484
