provider,model,chunk_size,mode,reranker_model,k_retrieve,k_rerank,total_queries,avg_mrr_k_retrieve,avg_mrr_k_rerank,avg_mrr_reranked,mrr_improvement,mrr_improvement_pct,avg_recall_k_retrieve,avg_recall_k_rerank,avg_recall_reranked,recall_improvement,recall_improvement_pct,avg_precision_k_retrieve,avg_precision_k_rerank,avg_precision_reranked,precision_improvement,precision_improvement_pct,avg_f1_k_retrieve,avg_f1_k_rerank,avg_f1_reranked,f1_improvement,f1_improvement_pct
ollama,nomic-embed-text,512,global,voyage-rerank-2.5,80,20,150,0.1956,0.1918,0.4641,0.2723,141.97080291970804,0.5711,0.4467,0.5689,0.12219999999999998,27.356167450190277,0.017,0.0427,0.06,0.017299999999999996,40.51522248243559,0.0324,0.0747,0.1034,0.028700000000000003,38.42034805890228
ollama,nomic-embed-text,1024,global,voyage-rerank-2.5,80,20,150,0.1325,0.1299,0.3148,0.18490000000000004,142.34026173979987,0.366,0.2933,0.366,0.07269999999999999,24.786907603136715,0.0093,0.0293,0.0363,0.006999999999999999,23.890784982935152,0.0179,0.0506,0.0629,0.012299999999999998,24.308300395256914
