Chunk Size,Method,MRR,Success Rate (%),Queries Found
512,Dense,0.4016,78.7,118/150
512,BM25,0.0614,12.0,18/150
512,Hybrid,0.2077,70.0,105/150
1024,Dense,0.4158,80.7,121/150
1024,BM25,0.0626,16.0,24/150
1024,Hybrid,0.2214,74.0,111/150
